scene_id,satellite,acquisition_date,latitude,longitude,cloud_cover_pct,sun_elevation_deg,sun_azimuth_deg,data_quality_score,processing_level,pixel_count,valid_pixel_pct
LC08_L2SP_159055_20230914,Landsat-8,2023-09-14,7.0203,-1.0237,85.95,46.05,167.62,0.829,L2A,11702340,14.16
LC08_L2SP_160055_20230914,Landsat-8,2023-09-14,8.6634,0.1918,89.88,60.62,177.13,0.925,L1C,11093184,10.37
S2A_MSIL2A_0000_20230914,Sentinel-2A,2023-09-14,7.4703,-2.7595,73.22,66.82,127.82,0.897,L2A,9629101,26.74
S2A_MSIL2A_0001_20230914,Sentinel-2A,2023-09-14,7.0991,0.6152,65.42,54.86,193.31,0.786,L1C,10079746,34.6
S2A_MSIL2A_0002_20230914,Sentinel-2A,2023-09-14,6.8,-1.2147,67.44,63.65,119.53,0.703,L1C,11144016,33.06
S2A_MSIL2A_0003_20230914,Sentinel-2A,2023-09-14,9.6713,-2.9236,33.65,71.7,137.23,0.901,L1C,8898893,69.67
S2A_MSIL2A_0004_20230914,Sentinel-2A,2023-09-14,8.3487,0.7773,74.15,70.02,127.66,0.916,L1C,8633351,24.0
S2A_MSIL2A_0005_20230914,Sentinel-2A,2023-09-14,6.8677,-0.8292,55.85,69.62,195.44,0.774,L2A,11821411,45.17
LC08_L2SP_155055_20230930,Landsat-8,2023-09-30,6.2517,0.0965,71.72,57.24,156.4,0.811,L1C,10219930,28.66
LC08_L2SP_156055_20230930,Landsat-8,2023-09-30,7.7001,-0.1293,90.9,50.2,166.04,0.934,L2A,11480421,8.03
LC08_L2SP_157055_20230930,Landsat-8,2023-09-30,9.8585,-0.8692,65.74,73.37,126.0,0.882,L1C,11528605,34.79
LC08_L2SP_158055_20230930,Landsat-8,2023-09-30,7.951,-2.735,73.94,69.17,179.01,0.896,L1C,10366455,28.51
LC08_L2SP_159055_20230930,Landsat-8,2023-09-30,7.0203,-1.0237,100.0,74.27,153.35,0.864,L2A,10134885,0.9
LC08_L2SP_160055_20230930,Landsat-8,2023-09-30,8.6634,0.1918,75.91,47.46,154.6,0.842,L1C,11545348,22.75
S2A_MSIL2A_0000_20230930,Sentinel-2A,2023-09-30,7.4703,-2.7595,83.95,51.4,103.36,0.761,L2A,9809302,17.3
S2A_MSIL2A_0001_20230930,Sentinel-2A,2023-09-30,7.0991,0.6152,61.63,73.01,150.89,0.839,L2A,10789730,35.94
S2A_MSIL2A_0002_20230930,Sentinel-2A,2023-09-30,6.8,-1.2147,58.69,60.45,106.91,0.919,L2A,11951745,41.08
S2A_MSIL2A_0003_20230930,Sentinel-2A,2023-09-30,9.6713,-2.9236,39.11,57.77,197.36,0.934,L2A,9829920,61.97
S2A_MSIL2A_0004_20230930,Sentinel-2A,2023-09-30,8.3487,0.7773,45.12,68.13,121.45,0.854,L2A,8469535,55.23
S2A_MSIL2A_0005_20230930,Sentinel-2A,2023-09-30,6.8677,-0.8292,78.15,50.71,185.35,0.846,L1C,11749389,21.77
LC08_L2SP_155055_20231016,Landsat-8,2023-10-16,6.2517,0.0965,63.48,68.0,179.16,0.793,L1C,9211952,36.84
LC08_L2SP_156055_20231016,Landsat-8,2023-10-16,7.7001,-0.1293,67.63,45.37,103.94,0.756,L1C,10498035,30.47
LC08_L2SP_157055_20231016,Landsat-8,2023-10-16,9.8585,-0.8692,46.12,52.49,156.09,0.956,L2A,11847912,54.26
LC08_L2SP_158055_20231016,Landsat-8,2023-10-16,7.951,-2.735,56.18,53.16,138.41,0.932,L1C,8890080,41.65
LC08_L2SP_159055_20231016,Landsat-8,2023-10-16,7.0203,-1.0237,46.13,55.38,186.76,0.99,L1C,11409706,57.59
LC08_L2SP_160055_20231016,Landsat-8,2023-10-16,8.6634,0.1918,79.07,71.14,136.71,0.726,L1C,8060247,22.27
S2A_MSIL2A_0000_20231016,Sentinel-2A,2023-10-16,7.4703,-2.7595,60.3,62.43,194.48,0.885,L2A,10497102,40.91
S2A_MSIL2A_0001_20231016,Sentinel-2A,2023-10-16,7.0991,0.6152,65.74,64.98,120.02,0.967,L1C,10622841,30.86
S2A_MSIL2A_0002_20231016,Sentinel-2A,2023-10-16,6.8,-1.2147,77.19,65.21,167.87,0.962,L2A,10479528,23.42
S2A_MSIL2A_0003_20231016,Sentinel-2A,2023-10-16,9.6713,-2.9236,69.81,58.02,168.89,0.715,L2A,9356441,26.94
S2A_MSIL2A_0004_20231016,Sentinel-2A,2023-10-16,8.3487,0.7773,29.01,57.78,160.87,0.816,L2A,11779710,71.7
S2A_MSIL2A_0005_20231016,Sentinel-2A,2023-10-16,6.8677,-0.8292,30.71,57.5,170.69,0.956,L2A,11947574,65.91
LC08_L2SP_155055_20231101,Landsat-8,2023-11-01,6.2517,0.0965,13.14,62.57,193.33,0.79,L1C,10812167,84.57
LC08_L2SP_156055_20231101,Landsat-8,2023-11-01,7.7001,-0.1293,22.22,64.1,153.04,0.973,L2A,8005787,77.17
LC08_L2SP_157055_20231101,Landsat-8,2023-11-01,9.8585,-0.8692,26.77,53.4,184.77,0.88,L2A,10925119,73.91
LC08_L2SP_158055_20231101,Landsat-8,2023-11-01,7.951,-2.735,8.06,67.0,188.85,0.794,L1C,8387430,92.35
LC08_L2SP_159055_20231101,Landsat-8,2023-11-01,7.0203,-1.0237,7.3,53.93,159.19,0.782,L1C,10850863,93.38
LC08_L2SP_160055_20231101,Landsat-8,2023-11-01,8.6634,0.1918,18.29,67.88,175.36,0.981,L2A,10561334,83.49
S2A_MSIL2A_0000_20231101,Sentinel-2A,2023-11-01,7.4703,-2.7595,0.0,67.31,175.38,0.843,L1C,11510189,102.47
S2A_MSIL2A_0001_20231101,Sentinel-2A,2023-11-01,7.0991,0.6152,37.16,55.37,120.93,0.767,L2A,11071503,63.83
S2A_MSIL2A_0002_20231101,Sentinel-2A,2023-11-01,6.8,-1.2147,30.26,45.43,148.97,0.913,L2A,8561238,72.76
S2A_MSIL2A_0003_20231101,Sentinel-2A,2023-11-01,9.6713,-2.9236,0.72,45.14,187.8,0.91,L1C,8899144,101.91
S2A_MSIL2A_0004_20231101,Sentinel-2A,2023-11-01,8.3487,0.7773,9.61,57.35,195.99,0.817,L2A,10174474,89.31
S2A_MSIL2A_0005_20231101,Sentinel-2A,2023-11-01,6.8677,-0.8292,12.69,71.3,138.34,0.969,L2A,9369570,88.49
LC08_L2SP_155055_20231117,Landsat-8,2023-11-17,6.2517,0.0965,5.84,53.99,189.28,0.874,L1C,9063599,95.64
LC08_L2SP_156055_20231117,Landsat-8,2023-11-17,7.7001,-0.1293,27.09,66.83,118.92,0.712,L1C,8290390,74.62
LC08_L2SP_157055_20231117,Landsat-8,2023-11-17,9.8585,-0.8692,16.44,49.97,131.44,0.831,L1C,8107540,81.6
LC08_L2SP_158055_20231117,Landsat-8,2023-11-17,7.951,-2.735,4.4,70.43,151.58,0.843,L1C,11148697,95.78
LC08_L2SP_159055_20231117,Landsat-8,2023-11-17,7.0203,-1.0237,25.81,60.98,116.6,0.884,L1C,10344190,74.84
LC08_L2SP_160055_20231117,Landsat-8,2023-11-17,8.6634,0.1918,4.6,49.88,194.81,0.843,L1C,11307474,98.14
S2A_MSIL2A_0000_20231117,Sentinel-2A,2023-11-17,7.4703,-2.7595,28.1,72.06,158.01,0.811,L2A,11584872,69.91
S2A_MSIL2A_0001_20231117,Sentinel-2A,2023-11-17,7.0991,0.6152,24.96,73.22,139.2,0.854,L2A,10372436,72.89
S2A_MSIL2A_0002_20231117,Sentinel-2A,2023-11-17,6.8,-1.2147,30.0,49.48,148.08,0.86,L2A,9612986,68.29
S2A_MSIL2A_0003_20231117,Sentinel-2A,2023-11-17,9.6713,-2.9236,10.86,65.07,107.43,0.737,L1C,10727721,87.67
S2A_MSIL2A_0004_20231117,Sentinel-2A,2023-11-17,8.3487,0.7773,35.69,55.75,143.56,0.807,L1C,11302269,64.35
S2A_MSIL2A_0005_20231117,Sentinel-2A,2023-11-17,6.8677,-0.8292,0.0,69.46,134.71,0.887,L2A,11796562,102.34
LC08_L2SP_155055_20231203,Landsat-8,2023-12-03,6.2517,0.0965,16.3,62.93,183.86,0.811,L1C,9183003,87.19
LC08_L2SP_156055_20231203,Landsat-8,2023-12-03,7.7001,-0.1293,31.9,65.54,177.24,0.855,L1C,10111680,70.12
LC08_L2SP_157055_20231203,Landsat-8,2023-12-03,9.8585,-0.8692,19.03,67.62,189.91,0.791,L2A,11735917,83.3
LC08_L2SP_158055_20231203,Landsat-8,2023-12-03,7.951,-2.735,24.48,47.82,180.08,0.715,L1C,10320121,71.83
LC08_L2SP_159055_20231203,Landsat-8,2023-12-03,7.0203,-1.0237,34.06,63.49,156.25,0.882,L1C,9932724,67.74
LC08_L2SP_160055_20231203,Landsat-8,2023-12-03,8.6634,0.1918,22.84,69.11,119.09,0.935,L2A,11873678,76.91
S2A_MSIL2A_0000_20231203,Sentinel-2A,2023-12-03,7.4703,-2.7595,23.04,66.54,113.06,0.721,L1C,9126216,76.52
S2A_MSIL2A_0001_20231203,Sentinel-2A,2023-12-03,7.0991,0.6152,24.49,61.42,142.49,0.82,L2A,9093521,80.36
S2A_MSIL2A_0002_20231203,Sentinel-2A,2023-12-03,6.8,-1.2147,29.74,73.44,139.77,0.846,L1C,9949222,70.33
S2A_MSIL2A_0003_20231203,Sentinel-2A,2023-12-03,9.6713,-2.9236,0.0,52.27,138.45,0.956,L1C,10668845,100.4
S2A_MSIL2A_0004_20231203,Sentinel-2A,2023-12-03,8.3487,0.7773,18.73,58.6,118.26,0.771,L1C,11104006,81.48
S2A_MSIL2A_0005_20231203,Sentinel-2A,2023-12-03,6.8677,-0.8292,20.21,73.61,190.2,0.946,L2A,11644084,79.77
LC08_L2SP_155055_20231219,Landsat-8,2023-12-19,6.2517,0.0965,42.91,47.2,166.16,0.854,L2A,10441214,56.65
LC08_L2SP_156055_20231219,Landsat-8,2023-12-19,7.7001,-0.1293,36.29,70.07,131.21,0.866,L1C,8770601,59.99
LC08_L2SP_157055_20231219,Landsat-8,2023-12-19,9.8585,-0.8692,16.38,61.63,150.42,0.812,L2A,11330353,83.74
LC08_L2SP_158055_20231219,Landsat-8,2023-12-19,7.951,-2.735,19.9,68.07,199.5,0.784,L2A,9237690,82.98
LC08_L2SP_159055_20231219,Landsat-8,2023-12-19,7.0203,-1.0237,32.23,69.01,148.62,0.714,L2A,11634871,65.24
LC08_L2SP_160055_20231219,Landsat-8,2023-12-19,8.6634,0.1918,0.0,70.0,180.11,0.924,L1C,11763746,102.27
S2A_MSIL2A_0000_20231219,Sentinel-2A,2023-12-19,7.4703,-2.7595,38.78,54.86,133.59,0.703,L2A,10712186,58.58
S2A_MSIL2A_0001_20231219,Sentinel-2A,2023-12-19,7.0991,0.6152,9.52,74.12,101.49,0.817,L2A,11899826,89.75
S2A_MSIL2A_0002_20231219,Sentinel-2A,2023-12-19,6.8,-1.2147,13.5,70.18,103.81,0.871,L2A,11449924,87.79
S2A_MSIL2A_0003_20231219,Sentinel-2A,2023-12-19,9.6713,-2.9236,7.67,47.64,138.25,0.882,L2A,8593736,94.6
S2A_MSIL2A_0004_20231219,Sentinel-2A,2023-12-19,8.3487,0.7773,16.13,46.43,161.4,0.726,L2A,8507833,83.08
S2A_MSIL2A_0005_20231219,Sentinel-2A,2023-12-19,6.8677,-0.8292,0.0,52.15,107.06,0.998,L2A,9501027,100.55
